target,caseId,processSamples,medianAllocations,medianAllocatedBytes,outputLen,outputCapacity
remoting_command_hot_paths,clone-ext-128-body-1048576,10,260.0,1089080.0,1048576,
remoting_command_hot_paths,construct-json-ext-32-body-4096,10,67.0,10088.0,4096,
remoting_command_hot_paths,display-ext-32,10,73.0,11578.0,1484,2816
remoting_command_hot_paths,envelope-decode-json-body-65536,10,2.0,66988.0,65536,
remoting_command_hot_paths,envelope-decode-rocketmq-body-65536,10,2.0,66885.0,65536,
remoting_command_hot_paths,frame-assemble-json-body-1048576,10,23.0,2099920.0,1049028,
remoting_command_hot_paths,frame-assemble-rocketmq-body-1048576,10,25.0,2100053.0,1048925,
remoting_command_hot_paths,header-encode-json-ext-32,10,67.0,8636.0,1412,2156
remoting_command_hot_paths,header-encode-rocketmq-ext-32,10,73.0,10888.0,1309,2112
request_header_codec,clean-controller-canonical-json-encode,10,1.0,1024.0,,
request_header_codec,clean-controller-canonical-rocketmq-encode,10,1.0,264.0,,
request_header_codec,consume-direct-collision-json-encode,10,1.0,1024.0,,
request_header_codec,consume-direct-collision-rocketmq-encode,10,1.0,264.0,,
request_header_codec,consumer-status-inherited-json-encode,10,1.0,1024.0,,
request_header_codec,consumer-status-inherited-rocketmq-encode,10,1.0,264.0,,
request_header_codec,delete-topic-inherited-json-encode,10,1.0,1024.0,,
request_header_codec,delete-topic-inherited-rocketmq-encode,10,1.0,264.0,,
request_header_codec,get-lite-explicit-default-json-encode,10,1.0,1024.0,,
request_header_codec,get-lite-explicit-default-rocketmq-encode,10,1.0,264.0,,
request_header_codec,notification-defaults-json-encode,10,1.0,1024.0,,
request_header_codec,notification-defaults-rocketmq-encode,10,2.0,792.0,,
request_header_codec,pull-fast-inherited-json-encode,10,1.0,1024.0,,
request_header_codec,pull-fast-inherited-rocketmq-encode,10,2.0,792.0,,
request_header_codec,pull-response-fast-json-encode,10,1.0,1024.0,,
request_header_codec,pull-response-fast-rocketmq-encode,10,1.0,264.0,,
request_header_codec,query-consume-queue-sparse-json-encode,10,1.0,1024.0,,
request_header_codec,query-consume-queue-sparse-rocketmq-encode,10,1.0,264.0,,
request_header_codec,send-response-fast-json-encode,10,1.0,1024.0,,
request_header_codec,send-response-fast-rocketmq-encode,10,1.0,264.0,,
request_header_codec,send-v1-fast-json-encode,10,1.0,1024.0,,
request_header_codec,send-v1-fast-rocketmq-encode,10,2.0,792.0,,
request_header_codec,send-v2-fast-json-encode,10,1.0,1024.0,,
request_header_codec,send-v2-fast-rocketmq-encode,10,1.0,264.0,,
