caseId,operation,serializeType,tier,medianNs,allocatedBytesPerOperation
clean-controller-canonical-json-decode,decode,JSON,2,528.0177169270204,1968.0053982159488
clean-controller-canonical-json-encode,encode,JSON,2,392.79089941971205,2184.004229508722
clean-controller-canonical-rocketmq-decode,decode,ROCKETMQ,2,365.62048791281865,1760.003913384927
clean-controller-canonical-rocketmq-encode,encode,ROCKETMQ,2,317.5969149481519,1104.0035781015874
consume-direct-collision-json-decode,decode,JSON,2,848.574018719067,9838.602557922399
consume-direct-collision-json-encode,encode,JSON,2,766.1415047842418,9968.065515398084
consume-direct-collision-rocketmq-decode,decode,ROCKETMQ,2,827.85772602446,9776.063154573912
consume-direct-collision-rocketmq-encode,encode,ROCKETMQ,2,654.3605442738202,9368.063210315593
consumer-status-inherited-json-decode,decode,JSON,2,690.5595817987406,9062.463089665483
consumer-status-inherited-json-encode,encode,JSON,2,558.2804176081543,9299.262360602575
consumer-status-inherited-rocketmq-decode,decode,ROCKETMQ,2,569.1306204329576,8952.059219619352
consumer-status-inherited-rocketmq-encode,encode,ROCKETMQ,2,438.3313247280454,8224.059744263175
delete-topic-inherited-json-decode,decode,JSON,2,646.9674342233864,8872.20759691631
delete-topic-inherited-json-encode,encode,JSON,2,477.6188526892854,8630.46065253799
delete-topic-inherited-rocketmq-decode,decode,ROCKETMQ,2,528.7492817467918,8720.128088660678
delete-topic-inherited-rocketmq-encode,encode,ROCKETMQ,2,402.7712075439295,8096.058787581365
get-lite-explicit-default-json-decode,decode,JSON,2,378.8670791880492,1520.0038543554265
get-lite-explicit-default-json-encode,encode,JSON,2,291.59930438354104,1472.0031183793913
get-lite-explicit-default-rocketmq-decode,decode,ROCKETMQ,2,260.63810052297237,1371.2027637603044
get-lite-explicit-default-rocketmq-encode,encode,ROCKETMQ,2,242.09152350507654,976.002664503533
notification-defaults-json-decode,decode,JSON,2,1221.3976335694713,14568.105658421944
notification-defaults-json-encode,encode,JSON,2,1089.9055583401482,14512.104091430263
notification-defaults-rocketmq-decode,decode,ROCKETMQ,2,1105.6015197340466,14448.100712292893
notification-defaults-rocketmq-encode,encode,ROCKETMQ,2,970.5193469597634,13838.50363858566
pull-fast-inherited-json-decode,decode,JSON,1,1454.2015979848074,15376.11003538888
pull-fast-inherited-json-encode,encode,JSON,1,1239.8623013451488,15352.108019966856
pull-fast-inherited-rocketmq-decode,decode,ROCKETMQ,1,1178.9979192042224,15224.100512318391
pull-fast-inherited-rocketmq-encode,encode,ROCKETMQ,1,733.7512422597661,13241.701026054237
pull-response-fast-json-decode,decode,JSON,1,559.9673960860827,2040.0060934634178
pull-response-fast-json-encode,encode,JSON,1,463.1126883030327,2592.0052476535298
pull-response-fast-rocketmq-decode,decode,ROCKETMQ,1,422.3445600816153,2245.8463469717417
pull-response-fast-rocketmq-encode,encode,ROCKETMQ,1,198.92510097824228,736.0031814024559
query-consume-queue-sparse-json-decode,decode,JSON,2,878.6137875452588,13112.099055713903
query-consume-queue-sparse-json-encode,encode,JSON,2,711.1209788829682,13339.399673376693
query-consume-queue-sparse-rocketmq-decode,decode,ROCKETMQ,2,731.833291928405,12920.093099953827
query-consume-queue-sparse-rocketmq-encode,encode,ROCKETMQ,2,597.3141953533633,12240.0951722427
send-response-fast-json-decode,decode,JSON,1,401.61550918034385,2145.604571039099
send-response-fast-json-encode,encode,JSON,1,386.02386260330104,2208.0040836772782
send-response-fast-rocketmq-decode,decode,ROCKETMQ,1,314.33782898586486,1811.2036316211868
send-response-fast-rocketmq-encode,encode,ROCKETMQ,1,185.7121044603052,712.0025907416781
send-v1-fast-json-decode,decode,JSON,2,1531.7878318465894,15136.193050665943
send-v1-fast-json-encode,encode,JSON,2,1132.374345549738,15080.105642840235
send-v1-fast-rocketmq-decode,decode,ROCKETMQ,2,1240.7585232475994,14776.105288411174
send-v1-fast-rocketmq-encode,encode,ROCKETMQ,2,1022.5808528169739,14320.104207703365
send-v2-fast-json-decode,decode,JSON,1,1108.1772884352647,14944.350972415317
send-v2-fast-json-encode,encode,JSON,1,1109.7476457517723,14968.106474089942
send-v2-fast-rocketmq-decode,decode,ROCKETMQ,1,618.0607855401387,13408.259325360674
send-v2-fast-rocketmq-encode,encode,ROCKETMQ,1,372.5963013412853,12472.097912635458
